±àºÅ,ÆµÂÊ,±êÇ©
1,49.501220303884004,1
2,49.507498741000994,1
3,49.510742774903,1
4,49.503197685762,1
5,49.496439329579,0
6,49.500657243601,1
7,49.494157685754004,0
8,49.50618947395701,1
9,49.497832436211006,0
10,49.49324825528,0
11,49.49942034963,0
12,49.502166183008,1
13,49.502483465368,1
14,49.504673054909,1
15,49.500337386651,1
16,49.503356981802995,1
17,49.503565667171,1
18,49.506375079323995,1
19,49.499401317384006,0
20,49.498532923141,0
21,49.495625082735,0
22,49.502893014288,1
23,49.49119839425801,0
24,49.494126726337,0
25,49.496977404121,0
26,49.506284197580996,1
27,49.499674183888,0
28,49.497718008694,0
29,49.500989156868,1
30,49.496290642327004,0
31,49.495874387575995,0
32,49.501146407467004,1
33,49.503820952637994,1
34,49.497645714825,0
35,49.496255165753006,0
36,49.511031895910996,1
37,49.495549047461004,0
38,49.498856982633,0
39,49.497892686838,0
40,49.506521522087,1
41,49.496917166618005,0
42,49.496793425008,0
43,49.502390463436,1
44,49.501605130828,1
45,49.499042920853995,0
46,49.505092659710996,1
47,49.500296105114,1
48,49.501044448745006,1
49,49.495527526779,0
50,49.49341318125,0
51,49.50816664524201,1
52,49.498324641081,0
53,49.497164538465995,0
54,49.505397731139,1
55,49.49490314449,0
56,49.494372796006004,0
57,49.502767017831005,1
58,49.506333383322,1
59,49.500603156076004,1
60,49.493217794172004,0
61,49.502842807549,1
62,49.500173093067,1
63,49.496812675198,0
64,49.512018470776994,1
65,49.496418685513,0
66,49.505917706113,1
67,49.491764776553005,0
68,49.504072167184,1
69,49.491490774084,0
70,49.500761683480995,1
71,49.4910874839,0
72,49.503908543818,1
73,49.494410584953,0
74,49.505681756921994,1
75,49.495576720623,0
76,49.501783493979,1
77,49.498356305371,0
78,49.504721807088,1
79,49.496771780588,0
80,49.494771846349,0
81,49.499987192217,0
82,49.503135347922004,1
83,49.504453887652,1
84,49.50552968300801,1
85,49.504243216301,1
86,49.5153571497,1
87,49.496382647684,0
88,49.505137287334,1
89,49.493527973081,0
90,49.503793805253004,1
91,49.502103244607,1
92,49.497604805975,0
93,49.501228674782,1
94,49.498021140185,0
95,49.509544855988,1
96,49.497345504607,0
97,49.506527345261,1
98,49.498014680829,0
99,49.501406015148,1
100,49.496175336573,0
101,49.504874714127,1
102,49.50174279809399,1
103,49.507587058121004,1
104,49.506577608548,1
105,49.495997102381,0
106,49.497418425523,0
107,49.498829138497,0
108,49.508762603621996,1
109,49.501832554093,1
110,49.506243413267,1
111,49.506587434063995,1
112,49.49446530304,0
113,49.5084315516,1
114,49.499076322892,0
115,49.489756103082,0
116,49.510266251339,1
117,49.500135366163995,1
118,49.502628529045,1
119,49.504233667533995,1
120,49.499624578121995,0
121,49.506664835318006,1
122,49.49497665344,0
123,49.506119135173996,1
124,49.501728276417,1
125,49.49604027098,0
126,49.500245670958996,1
127,49.499091830039994,0
128,49.501848827842,1
129,49.495896630046,0
130,49.497900967431,0
131,49.49139125708201,0
132,49.50501240609999,1
133,49.497212193718994,0
134,49.500258380444,1
135,49.496433612966,0
136,49.498407186177,0
137,49.509954247243,1
138,49.506777063376,1
139,49.500560112713,1
140,49.496994163044995,0
141,49.501629819971,1
142,49.496609325310004,0
143,49.504832162142,1
144,49.496866847952006,0
145,49.502675975882,1
146,49.500892035735,1
147,49.50456283649999,1
148,49.500388622289,1
149,49.499364486260006,0
150,49.504990311562004,1
151,49.504196184529,1
152,49.506636503047,1
153,49.497376444753,0
154,49.502060741305996,1
155,49.50045697095899,1
156,49.492745612118995,0
157,49.500104439108,1
158,49.488360651761,0
159,49.502114257098,1
160,49.504767175308,1
161,49.505668234625,1
162,49.496112718115995,0
163,49.493658857548,0
164,49.502920891486,1
165,49.509604417472,1
166,49.501680209517005,1
167,49.494778472111996,0
168,49.500076718089,1
169,49.49983196548101,0
170,49.503476481944,1
171,49.507952203597,1
172,49.49393962219,0
173,49.49526817741901,0
174,49.492698662781,0
175,49.499370703076,0
176,49.503737543228,1
177,49.495554754157,0
178,49.499911925986005,0
179,49.50750027422401,1
180,49.50325705647899,1
181,49.495679294309994,0
182,49.504478577401,1
183,49.496309856919005,0
184,49.508348607429,1
185,49.495567879083005,0
186,49.505125178594,1
187,49.502285106558,1
188,49.499235905285,0
189,49.501235988084,1
190,49.50280626915399,1
191,49.508931878902,1
192,49.494773094134,0
193,49.50716042465999,1
194,49.503998572898,1
195,49.502240978356,1
196,49.503881554551,1
197,49.494939401295994,0
198,49.502292719187004,1
199,49.494903584609006,0
200,49.510251145137,1
